,subject_id,channel,band,psd_ratio,genotype
159,b1c3.4,S1_L,$\theta$,1.137046485275313,3xTg
160,b1c4.1,A1_L,$\alpha$,0.8482438304682594,Ntg
161,b1c4.1,A1_L,$\beta$,0.9013578999083158,Ntg
162,b1c4.1,A1_L,$\delta$,0.6671998361812035,Ntg
163,b1c4.1,A1_L,$\gamma$,1.071852645672871,Ntg
164,b1c4.1,A1_L,$\theta$,1.094993977884086,Ntg
165,b1c4.1,A1_R,$\alpha$,0.8499277845450278,Ntg
166,b1c4.1,A1_R,$\beta$,0.9683835547649221,Ntg
167,b1c4.1,A1_R,$\delta$,0.6925566905175552,Ntg
168,b1c4.1,A1_R,$\gamma$,1.1066241953303686,Ntg
169,b1c4.1,A1_R,$\theta$,1.0462203109892916,Ntg
170,b1c4.1,ACA_R,$\alpha$,0.7904702920652379,Ntg
171,b1c4.1,ACA_R,$\beta$,0.9366276494383539,Ntg
172,b1c4.1,ACA_R,$\delta$,0.7105491430661478,Ntg
173,b1c4.1,ACA_R,$\gamma$,0.9881432724780544,Ntg
174,b1c4.1,ACA_R,$\theta$,0.8709343113965174,Ntg
175,b1c4.1,AI_L,$\alpha$,0.7993236073389343,Ntg
176,b1c4.1,AI_L,$\beta$,0.9908474319542371,Ntg
177,b1c4.1,AI_L,$\delta$,0.7126165100548058,Ntg
178,b1c4.1,AI_L,$\gamma$,1.0549699936680552,Ntg
179,b1c4.1,AI_L,$\theta$,0.9254742362937556,Ntg
180,b1c4.1,AI_R,$\alpha$,0.8618193588476007,Ntg
181,b1c4.1,AI_R,$\beta$,0.9789114065617177,Ntg
182,b1c4.1,AI_R,$\delta$,0.6337248554812712,Ntg
183,b1c4.1,AI_R,$\gamma$,1.0478164780835826,Ntg
184,b1c4.1,AI_R,$\theta$,1.0141546290608567,Ntg
185,b1c4.1,PCA_R,$\alpha$,0.7845493902081074,Ntg
186,b1c4.1,PCA_R,$\beta$,0.8408761066653399,Ntg
187,b1c4.1,PCA_R,$\delta$,0.6559696823510216,Ntg
188,b1c4.1,PCA_R,$\gamma$,0.9373906915683762,Ntg
189,b1c4.1,PCA_R,$\theta$,0.9488631735972508,Ntg
190,b1c4.1,PMC_R,$\alpha$,0.7835697893648153,Ntg
191,b1c4.1,PMC_R,$\beta$,0.8876924070852279,Ntg
192,b1c4.1,PMC_R,$\delta$,0.62806736021907,Ntg
193,b1c4.1,PMC_R,$\gamma$,1.0352624480509762,Ntg
194,b1c4.1,PMC_R,$\theta$,0.9486725356153284,Ntg
195,b1c4.1,S1_L,$\alpha$,0.7804191115235112,Ntg
196,b1c4.1,S1_L,$\beta$,0.9504898147343376,Ntg
197,b1c4.1,S1_L,$\delta$,0.6598753838906176,Ntg
198,b1c4.1,S1_L,$\gamma$,1.0482254528312276,Ntg
199,b1c4.1,S1_L,$\theta$,1.0318153633470049,Ntg
200,b1c4.2,A1_L,$\alpha$,1.0357113782055207,Ntg
201,b1c4.2,A1_L,$\beta$,1.1168282817025759,Ntg
202,b1c4.2,A1_L,$\delta$,0.551789070884794,Ntg
203,b1c4.2,A1_L,$\gamma$,1.00540987971891,Ntg
204,b1c4.2,A1_L,$\theta$,1.0119315956861947,Ntg
205,b1c4.2,A1_R,$\alpha$,1.1035088610157187,Ntg
206,b1c4.2,A1_R,$\beta$,1.2363121120789742,Ntg
207,b1c4.2,A1_R,$\delta$,0.6315682964794216,Ntg
208,b1c4.2,A1_R,$\gamma$,1.0828162411872102,Ntg
209,b1c4.2,A1_R,$\theta$,1.1096302878808626,Ntg
210,b1c4.2,ACA_R,$\alpha$,1.0515034117590978,Ntg
211,b1c4.2,ACA_R,$\beta$,1.1215948146276613,Ntg
212,b1c4.2,ACA_R,$\delta$,0.9166954922422571,Ntg
213,b1c4.2,ACA_R,$\gamma$,1.0414628513107909,Ntg
214,b1c4.2,ACA_R,$\theta$,1.0516214217512347,Ntg
215,b1c4.2,AI_L,$\alpha$,0.8353805143888501,Ntg
216,b1c4.2,AI_L,$\beta$,0.8216225836861814,Ntg
217,b1c4.2,AI_L,$\delta$,0.4757815811963515,Ntg
218,b1c4.2,AI_L,$\gamma$,1.003942184474971,Ntg
219,b1c4.2,AI_L,$\theta$,0.5604926779820972,Ntg
220,b1c4.2,AI_R,$\alpha$,1.0693247925093965,Ntg
221,b1c4.2,AI_R,$\beta$,1.106227458839434,Ntg
222,b1c4.2,AI_R,$\delta$,0.7197513416739051,Ntg
223,b1c4.2,AI_R,$\gamma$,0.9655555300121728,Ntg
224,b1c4.2,AI_R,$\theta$,0.9591636640985625,Ntg
225,b1c4.2,PCA_R,$\alpha$,1.1293500988537921,Ntg
226,b1c4.2,PCA_R,$\beta$,1.1424482086080892,Ntg
227,b1c4.2,PCA_R,$\delta$,0.7453160807504613,Ntg
228,b1c4.2,PCA_R,$\gamma$,1.0286095770362735,Ntg
229,b1c4.2,PCA_R,$\theta$,1.0454187948383011,Ntg
230,b1c4.2,PMC_R,$\alpha$,1.0327685792097985,Ntg
231,b1c4.2,PMC_R,$\beta$,1.1159364193318935,Ntg
232,b1c4.2,PMC_R,$\delta$,0.8636330618981122,Ntg
233,b1c4.2,PMC_R,$\gamma$,1.019409370984631,Ntg
234,b1c4.2,PMC_R,$\theta$,1.0361055555155083,Ntg
235,b1c4.2,S1_L,$\alpha$,1.0758326236220819,Ntg
236,b1c4.2,S1_L,$\beta$,1.1474893693132586,Ntg
237,b1c4.2,S1_L,$\delta$,0.5834488073394163,Ntg
238,b1c4.2,S1_L,$\gamma$,1.1112468761806689,Ntg
239,b1c4.2,S1_L,$\theta$,1.0213624288083292,Ntg
240,b1c4.3,A1_L,$\alpha$,0.518316470686688,Ntg
241,b1c4.3,A1_L,$\beta$,0.55053566989376,Ntg
242,b1c4.3,A1_L,$\delta$,0.5964358608857374,Ntg
243,b1c4.3,A1_L,$\gamma$,0.807379802452542,Ntg
244,b1c4.3,A1_L,$\theta$,0.5322859359711106,Ntg
245,b1c4.3,A1_R,$\alpha$,0.5138020752631227,Ntg
246,b1c4.3,A1_R,$\beta$,0.5503088402194989,Ntg
247,b1c4.3,A1_R,$\delta$,0.5921529484251545,Ntg
248,b1c4.3,A1_R,$\gamma$,0.8283588600580611,Ntg
249,b1c4.3,A1_R,$\theta$,0.5257577511392547,Ntg
250,b1c4.3,ACA_R,$\alpha$,0.5175878309774025,Ntg
251,b1c4.3,ACA_R,$\beta$,0.5559623122138891,Ntg
252,b1c4.3,ACA_R,$\delta$,0.6099200189583854,Ntg
253,b1c4.3,ACA_R,$\gamma$,0.8104229040356111,Ntg
254,b1c4.3,ACA_R,$\theta$,0.5367804758405235,Ntg
255,b1c4.3,AI_L,$\alpha$,0.5147439290302669,Ntg
256,b1c4.3,AI_L,$\beta$,0.5508074303524977,Ntg
257,b1c4.3,AI_L,$\delta$,0.5936391563933081,Ntg
258,b1c4.3,AI_L,$\gamma$,0.8306872513682012,Ntg
259,b1c4.3,AI_L,$\theta$,0.5321999329740917,Ntg
260,b1c4.3,AI_R,$\alpha$,0.5171630247812302,Ntg
261,b1c4.3,AI_R,$\beta$,0.5561346784486936,Ntg
262,b1c4.3,AI_R,$\delta$,0.6024614865681582,Ntg
263,b1c4.3,AI_R,$\gamma$,0.842385662541744,Ntg
264,b1c4.3,AI_R,$\theta$,0.5384427208756835,Ntg
265,b1c4.3,PCA_R,$\alpha$,0.5230854852919712,Ntg
266,b1c4.3,PCA_R,$\beta$,0.5560359782412129,Ntg
267,b1c4.3,PCA_R,$\delta$,0.5931054978098363,Ntg
268,b1c4.3,PCA_R,$\gamma$,0.8034184598393874,Ntg
269,b1c4.3,PCA_R,$\theta$,0.5350571710964328,Ntg
270,b1c4.3,PMC_R,$\alpha$,0.5198649299578225,Ntg
271,b1c4.3,PMC_R,$\beta$,0.5508109867277968,Ntg
272,b1c4.3,PMC_R,$\delta$,0.5913246460046501,Ntg
273,b1c4.3,PMC_R,$\gamma$,0.8560665835547546,Ntg
274,b1c4.3,PMC_R,$\theta$,0.5413087244663305,Ntg
275,b1c4.3,S1_L,$\alpha$,0.5187143074104399,Ntg
