method,edge,band,term,estimate,ci_lower,ci_upper,std_error,z_value,p_value,n_subjects,p_fdr,significant_fdr
wPLI2-debiased,ACA_R–PCA_R,gamma,sex[T.m],0.0298368850461235,-0.0336631260385304,0.0933368961307774,0.032398560170255115,0.9209324392605734,0.35708570102814197,44,0.6362415462338841,False
wPLI2-debiased,ACA_R–PCA_R,gamma,genotype[T.3xTg]:interaction_kind[T.with mouse cup],-0.031115117591312365,-0.08781999566666197,0.025589760484037244,0.028931591867315143,-1.0754720215192866,0.2821634519816404,44,0.5802123275555107,False
wPLI2-debiased,ACA_R–PCA_R,gamma,genotype[T.3xTg]:sex[T.m],-0.04335326749779699,-0.1331558443845564,0.04644930938896243,0.045818483194135555,-0.9461960430707995,0.3440486040143349,44,0.44144827472600884,False
wPLI2-debiased,ACA_R–PCA_R,gamma,interaction_kind[T.with mouse cup]:sex[T.m],-0.02259576378676361,-0.07930064186211322,0.03410911428858599,0.02893159186731514,-0.7810065858246363,0.4347986212599281,44,0.8888880617011191,False
wPLI2-debiased,ACA_R–PCA_R,gamma,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],0.012878621096586829,-0.06731418653028536,0.09307142872345901,0.04091544959980021,0.3147618130206179,0.7529425077872461,44,0.7529425077872461,False
wPLI2-debiased,ACA_R–PCA_R,theta,genotype[T.3xTg],-0.11878200760466835,-0.3584003140868769,0.1208362988775402,0.12225648449271885,-0.9715804286172042,0.33125932295204963,44,0.5520988715867494,False
wPLI2-debiased,ACA_R–PCA_R,theta,interaction_kind[T.with mouse cup],-0.013978919282579423,-0.13808722871793674,0.1101293901527779,0.0633217295900883,-0.2207602251718584,0.8252791351905102,44,0.8935282877615868,False
wPLI2-debiased,ACA_R–PCA_R,theta,sex[T.m],-0.10710094273843926,-0.3467192492206478,0.13251736374376924,0.12225648449271882,-0.8760348637770443,0.38101108093813496,44,0.6362415462338841,False
wPLI2-debiased,ACA_R–PCA_R,theta,genotype[T.3xTg]:interaction_kind[T.with mouse cup],0.06424536675971973,-0.11127028764695918,0.23976102116639864,0.08955044877922452,0.7174209357466056,0.4731144054115236,44,0.5913930067644044,False
wPLI2-debiased,ACA_R–PCA_R,theta,genotype[T.3xTg]:sex[T.m],0.38994369878697294,0.051072239966960864,0.728815157606985,0.17289677845765888,2.2553554916725487,0.024111024087980663,44,0.12055512043990331,False
wPLI2-debiased,ACA_R–PCA_R,theta,interaction_kind[T.with mouse cup]:sex[T.m],0.03531489878993806,-0.14020075561674078,0.21083055319661692,0.0895504487792245,0.39435758582296504,0.693317053364676,44,0.8888880617011191,False
wPLI2-debiased,ACA_R–PCA_R,theta,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],-0.09449403737364039,-0.3427106562443547,0.1537225814970739,0.12664345918017644,-0.7461422641591235,0.45558148072627913,44,0.7529425077872461,False
